id,type,taxi_time,gate (block) hour,runway hour,rwy_day,distance,angle,angle error,shortest path,distance_gate,distance_long,distance_else,rwy,rwy_num,operation_mode,other_moving_ac,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr
19-Oct-2024_TOM620  ,arrival,3.1333333333333333,08,08,19,1067.185911748493,148.19315518133533,0,651.2148144054973,105.609774242,0,961.5761375064931,,-1,0,7,0,0,0,1,0,0,3,1
19-Oct-2024_DLH6RX  ,departure,20.333333333333332,08,09,19,2165.009257409369,983.9303208117359,0,1495.2497768695525,103.676652407,578.1768592638504,1483.1557457385188,,-1,1,7,2,6,0,0,0,0,0,0
19-Oct-2024_EZY37TB ,departure,18.5,09,09,19,1656.8849971861507,408.4764086033955,0,1377.8465689501893,88.9090138822,613.1686048189504,954.8073784850003,,-1,1,14,6,4,0,0,8,0,0,0
19-Oct-2024_EZY57PJ ,departure,16.883333333333333,08,09,19,2266.1178546114256,940.2914888000969,1,1656.2391149175369,64.6124524558,662.7655107560118,1538.739891399614,23L/05R,2,1,11,0,5,0,0,2,1,0,0
19-Oct-2024_EXS93G  ,departure,24.416666666666668,08,09,19,3282.260999845257,841.036310802212,0,2841.9232892535165,106.064213968,1346.4874057270276,1829.7093801502297,,-1,1,9,3,7,0,0,1,0,0,0
19-Oct-2024_AEE9E   ,departure,17.55,08,09,19,3317.0564827059357,914.8576225375396,0,2985.7074521071495,67.0714083598,1611.7328805407615,1638.2521938053742,,-1,1,14,1,5,0,0,3,4,0,0
19-Oct-2024_SIA52   ,departure,18.183333333333334,08,09,19,3274.2059170722355,982.0017846355472,0,2734.216155305445,110.712389807,1346.4874057270276,1817.006121538208,,-1,1,12,5,3,0,0,5,0,0,0
19-Oct-2024_SHT3R   ,departure,16.616666666666667,08,09,19,2113.654156868225,894.8455003507029,1,1653.2578227576282,82.9530943613,0,2030.7010625069252,23L/05R,2,1,13,4,2,0,0,4,0,0,0
19-Oct-2024_EUK935  ,departure,17394.583333333332,08,10,31,5637.650035829115,1263.471673927127,0,1950.6544061792317,111.624949329,1553.0528857582271,3972.972200741888,,-1,1,19,163,202,0,0,6,0,0,0
19-Oct-2024_RYR77XK ,departure,41.43333333333333,08,09,19,2360.024818876194,1058.6716376539873,1,1857.8658742801867,112.201789352,577.1881546986612,1670.6348748255327,,-1,1,10,15,9,0,0,7,0,0,0
19-Oct-2024_EZY72ZY ,arrival,4.466666666666667,09,09,19,1477.518846534732,600.5284550978346,0,1029.6221924779495,83.4322277087,0,1394.086618826032,,-1,1,10,0,0,2,0,0,0,9,0
19-Oct-2024_VIR75L  ,departure,17.45,09,09,19,3157.002620654663,876.2934903740862,0,2680.4290427467495,112.840287221,1796.3095827274396,1247.8527507062236,,-1,1,17,7,4,0,0,9,1,0,0
