PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,taxi_time
-1.948011563,-1.428006501,-2.289556719,2.161961128,0.456906996,-0.60988946,0.724707349,-0.684166345,0.575833614,0.657743914,-0.192387204,-0.75448704,3.133333333
1.141773219,0.344279802,-1.979750835,2.113108484,-0.412735797,-1.077700817,0.996385127,-0.697767869,1.758573566,0.565868994,-0.044571171,0.555935047,20.33333333
0.839432165,-1.280799606,-1.076039524,1.862409536,0.213076111,-0.981522278,-0.810543939,-0.944999653,0.69517943,-0.301501272,-0.239274572,0.368567483,18.5
2.041009695,0.440952947,-1.122095001,1.391131021,-1.027834995,-1.69861999,0.876311309,2.961134516,0.464947896,-0.571702216,2.377317094,0.134929285,16.88333333
2.506194801,1.594604534,-2.341513301,0.996511931,-0.518581503,-1.315604691,0.40015922,-1.333788509,1.844687911,0.311440104,-0.089209755,0.374340377,24.41666667
3.412433474,1.009131577,-1.675310053,0.370158843,-0.506881924,-1.842641523,-0.653841883,-1.238881542,1.192896528,-0.519163991,-0.552363806,0.115607089,17.55
3.13900136,1.378370413,-1.826525453,1.10756767,-0.551685727,-1.522407653,0.189540872,-1.475747233,1.204350568,0.10614601,-0.125122651,0.280886714,18.18333333
2.09428327,0.430987532,-0.648474984,2.109517586,-1.104503443,-1.601957505,1.322601537,3.258502382,-0.191946177,-0.099271386,1.701528934,0.169562529,16.61666667
11.50879936,5.069271551,-2.506170745,6.986050466,6.413371162,11.25398977,-2.870421424,0.853928937,1.100270816,1.326081547,-0.062394728,0.201046262,17394.58333
3.349647575,0.025176545,-0.702026571,2.881982176,-0.463816501,-1.192198793,1.724705562,0.956864026,1.607412429,-0.733831297,1.62853331,-0.747951363,41.43333333
-0.895717439,0.225503381,-1.171429078,2.70566188,-0.538781301,-0.92331475,0.301997479,-0.284087751,1.09695394,0.034545631,-0.718343699,0.10001108,4.466666667
3.536772229,0.670701292,-1.200275228,0.711620632,-0.219801141,-1.502206555,-0.917416646,-2.11399601,0.512195606,-0.763211396,0.312763915,0.184893205,17.45
3.600668231,1.097074354,-1.623934267,0.092061706,-0.362079403,-1.679860117,-1.251284761,-1.755626275,1.157043572,-0.995572053,0.136353415,-0.093502849,15.68333333
-1.303587634,0.178537745,-1.982089971,1.251189572,-0.551827012,-0.819680439,-0.942913248,1.868961199,0.886047508,0.346481888,-1.008958058,0.590752877,3.283333333
-1.164145127,0.088688132,-1.34831981,2.074503789,-0.251442502,-0.959478767,-0.55040666,-0.951579152,1.251057465,-0.675091079,-0.00662101,0.055342541,4.85
0.956509533,-1.335000104,-0.805210857,2.204704521,0.085431092,-1.06179842,-0.235733366,-1.40577386,0.35562166,-0.220496932,0.208335898,0.607849826,13.15
-0.622207234,1.070696409,-1.733349844,1.238812324,-0.563714549,-1.024692129,-0.52554633,-0.140239803,0.386570438,-0.20782993,0.976395506,0.878342383,5.7
2.140234936,-0.018090091,-0.94407024,1.915166849,-0.375237164,-1.340682073,0.232446723,-0.903129377,0.550216757,0.1118814,-0.59128344,0.368960454,9.85
2.517020209,-0.521708834,-0.237533542,2.594431556,-0.633159548,-1.604433209,1.322951537,0.725149537,1.255196342,-1.08076397,1.579785295,-0.840875163,14.33333333
